State (Emission order)	H3K27ac	H3K9me3	H3K27me3	Pc
1	0.728876413787693	0.03682095827913974	0.0024355167441241876	0.01937068185938843
2	0.007974057331351819	0.012591743701946576	0.001883177470009067	0.0020860732376770407
3	0.499733760934538	0.8545140494279667	0.17132604783272026	0.07296114685621591
4	0.0030705782055787598	0.6275772599688988	0.0034719417966694957	0.003126079911356129
5	0.08870094974616907	0.9491769104444073	1.0	0.48966036733927076
6	0.0043953731826124245	0.709158240016515	0.998693391687298	0.02521265509818672
7	0.008876707822663523	0.07198552443653883	0.6688810933623016	0.00876032974386077
8	0.023790388525935163	0.053052996964128796	0.7824368903471924	0.45210585220370864
9	0.6763658990511867	0.4202788212520585	0.9236233148272205	0.08663298359293684
