State (Emission order)	H3K27ac	H3K9me3	Pc	H3K27me3
1	0.6728792166054363	0.43764513255919185	0.09842657636205343	0.9291518736504273
2	0.008903619437524024	0.07228703124371487	0.011301575017236871	0.6774076303177252
3	0.0054188713285946615	0.7265198549932897	0.031968120061106636	0.9990549757616748
4	0.07202956780752955	0.7831293967914981	0.5632610875068135	0.9858822607496128
5	0.003080798538129259	0.6276798555717552	0.0031243873188432944	0.0034719489156995794
6	0.49911638442728606	0.8525472967134999	0.0729564782309121	0.17140399559107763
7	0.007950490381053579	0.012590628298879688	0.002101032068341888	0.0019143449267761713
8	0.7271276908785772	0.03674127949599147	0.020297923766096973	0.002485248803496804
