SampleID	Tissue	Factor	Condition	Treatment	Replicate	bamReads	ControlID	bamControl	Peaks	PeakCaller
WD_SUMOnub1	WD	ER	WD_SUMOnub	SUMOnub	1	../../pipeline_analysis/cnr_H3K27me3_WD_SUMOnub_Rep1_all_dm6_NA/cnr_H3K27me3_WD_SUMOnub_Rep1_all_dm6_NA.sorted_dedup.bam	IgG_NOnub	../../pipeline_analysis/cnr_IgG_WD_NOnub_merge_all_dm6_NA/cnr_IgG_WD_NOnub_merge_all_dm6_NA.bam	../DEseq2_results_WD_SUMOnub_vs_WD_NOnub_TSSsForDiffBind.tsv	bed
WD_SUMOnub2	WD	ER	WD_SUMOnub	SUMOnub	2	../../pipeline_analysis/cnr_H3K27me3_WD_SUMOnub_Rep2_all_dm6_NA/cnr_H3K27me3_WD_SUMOnub_Rep2_all_dm6_NA.sorted_dedup.bam	IgG_NOnub	../../pipeline_analysis/cnr_IgG_WD_NOnub_merge_all_dm6_NA/cnr_IgG_WD_NOnub_merge_all_dm6_NA.bam	../DEseq2_results_WD_SUMOnub_vs_WD_NOnub_TSSsForDiffBind.tsv	bed
WD_NOnub1	WD	ER	WD_NOnub	NOnub	1	../../pipeline_analysis/cnr_H3K27me3_WD_NOnub_Rep1_all_dm6_NA/cnr_H3K27me3_WD_NOnub_Rep1_all_dm6_NA.sorted_dedup.bam	IgG_NOnub	../../pipeline_analysis/cnr_IgG_WD_NOnub_merge_all_dm6_NA/cnr_IgG_WD_NOnub_merge_all_dm6_NA.bam	../DEseq2_results_WD_SUMOnub_vs_WD_NOnub_TSSsForDiffBind.tsv	bed
WD_NOnub2	WD	ER	WD_NOnub	NOnub	2	../../pipeline_analysis/cnr_H3K27me3_WD_NOnub_Rep2_all_dm6_NA/cnr_H3K27me3_WD_NOnub_Rep2_all_dm6_NA.sorted_dedup.bam	IgG_NOnub	../../pipeline_analysis/cnr_IgG_WD_NOnub_merge_all_dm6_NA/cnr_IgG_WD_NOnub_merge_all_dm6_NA.bam	../DEseq2_results_WD_SUMOnub_vs_WD_NOnub_TSSsForDiffBind.tsv	bed
