Geneid    	WD_NOnub_Rep1  	WD_NOnub_Rep2  	WD_NOnub_Rep3  	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0025641	1844           	1507           	1578           	1363           	1872           	1641           
FBgn0052811	0              	1              	0              	0              	1              	2              
FBgn0028550	540            	778            	680            	1170           	1092           	1268           
FBgn0026876	1141           	1261           	1109           	1359           	1119           	999            
FBgn0040366	158            	204            	181            	211            	209            	203            
FBgn0040363	0              	0              	0              	0              	0              	0              
FBgn0040368	0              	1              	0              	3              	4              	3              
FBgn0026872	117            	138            	136            	155            	157            	134            
FBgn0029580	3              	7              	7              	11             	9              	12             
FBgn0025383	1              	5              	3              	13             	13             	18             
FBgn0025381	1483           	1475           	1528           	1497           	1704           	1461           
FBgn0025394	3844           	4169           	4076           	3680           	3718           	3775           
FBgn0000482	1208           	1202           	1200           	1122           	1212           	1060           
FBgn0001189	1859           	2033           	1928           	1866           	1971           	1859           
FBgn0029587	5              	4              	8              	4              	3              	5              
FBgn0024897	11             	8              	9              	14             	25             	22             
FBgn0025391	0              	0              	0              	3              	9              	10             
FBgn0025378	0              	0              	0              	1              	1              	0              
FBgn0023130	672            	745            	697            	645            	659            	737            
FBgn0023530	222            	240            	272            	297            	275            	287            
FBgn0025390	20             	20             	14             	39             	35             	35             
FBgn0025393	3              	4              	6              	11             	7              	2              
FBgn0003517	77306          	79709          	80483          	76459          	81511          	73288          
FBgn0044508	1              	4              	3              	2              	0              	5              
FBgn0025382	279            	426            	371            	451            	408            	410            
FBgn0052808	55             	60             	66             	60             	76             	85             
FBgn0027791	160            	198            	187            	190            	232            	147            
FBgn0027793	20             	10             	29             	76             	69             	83             
FBgn0052806	0              	0              	0              	1              	0              	1              
FBgn0026873	777            	760            	719            	799            	702            	696            
FBgn0023513	1230           	1414           	1308           	1497           	1169           	1110           
FBgn0014411	2584           	2376           	2243           	2249           	1926           	1928           
FBgn0023514	1301           	1351           	1179           	1303           	1183           	1172           
FBgn0029594	553            	545            	463            	486            	462            	431            
FBgn0023519	760            	858            	858            	826            	734            	747            
FBgn0023509	2506           	2535           	2578           	2459           	1982           	2149           
FBgn0023510	1314           	1380           	1405           	1485           	1444           	1399           
FBgn0023508	1414           	1405           	1313           	1224           	1429           	1312           
FBgn0023522	1180           	1151           	1164           	1089           	1214           	1173           
FBgn0023521	446            	335            	345            	279            	296            	305            
FBgn0025627	58             	51             	48             	54             	52             	49             
FBgn0025630	1010           	1129           	1311           	1149           	1393           	1184           
FBgn0025629	774            	874            	770            	751            	729            	572            
FBgn0025628	3946           	4030           	4348           	4853           	5594           	4692           
FBgn0029596	4              	2              	1              	4              	3              	6              
FBgn0025626	2190           	2315           	2211           	2231           	2206           	2152           
FBgn0025625	9              	10             	3              	18             	17             	18             
FBgn0025631	211            	214            	188            	253            	353            	358            
FBgn0026878	9              	1              	22             	5              	0              	5              
FBgn0000667	5439           	5652           	5463           	5680           	4753           	5002           
FBgn0003964	2070           	2140           	2213           	2152           	1992           	1893           
FBgn0023545	896            	939            	947            	993            	1098           	989            
FBgn0023520	510            	516            	488            	428            	489            	438            
FBgn0023512	1716           	1790           	1740           	1722           	1496           	1402           
FBgn0023511	1716           	1785           	1819           	1887           	1686           	1735           
FBgn0052801	56             	54             	63             	117            	122            	121            
FBgn0023518	3187           	3563           	3285           	3354           	2884           	2754           
FBgn0026088	501            	607            	658            	581            	577            	595            
FBgn0026089	113            	103            	109            	127            	95             	99             
FBgn0023517	1148           	1200           	1030           	1237           	940            	824            
FBgn0023516	540            	572            	593            	598            	591            	523            
FBgn0023515	1372           	1558           	1462           	1692           	1436           	1493           
FBgn0028969	3455           	3364           	3166           	3368           	2861           	2548           
FBgn0026090	475            	511            	509            	563            	670            	635            
FBgn0029590	0              	0              	0              	1              	0              	3              
FBgn0025624	414            	439            	503            	426            	526            	484            
FBgn0040395	1475           	1285           	1135           	1097           	892            	987            
FBgn0000382	1398           	1388           	1467           	1944           	1964           	1937           
FBgn0023507	460            	610            	686            	637            	496            	528            
FBgn0004654	1993           	1977           	1908           	1907           	1623           	1465           
FBgn0023540	1418           	1475           	1486           	1037           	1256           	1200           
FBgn0025839	470            	548            	446            	562            	377            	325            
FBgn0011576	117            	113            	220            	221            	158            	221            
FBgn0015036	2              	1              	3              	2              	1              	3              
FBgn0003116	93             	83             	120            	86             	109            	105            
FBgn0040899	259            	272            	196            	227            	242            	174            
FBgn0040900	2              	2              	1              	12             	11             	13             
FBgn0024984	6              	11             	7              	22             	22             	23             
FBgn0023549	347            	31             	619            	195            	46             	128            
FBgn0029606	0              	0              	1              	0              	0              	0              
FBgn0003048	2922           	3044           	2898           	2911           	2509           	2369           
FBgn0000810	1377           	1455           	1344           	1510           	1379           	1240           
FBgn0023523	19             	10             	16             	28             	32             	24             
FBgn0023527	983            	1205           	980            	990            	932            	886            
FBgn0040391	1              	6              	1              	2              	5              	2              
FBgn0053218	3              	1              	4              	2              	3              	4              
FBgn0003079	1601           	1730           	1598           	1779           	1757           	1638           
FBgn0003159	263            	272            	402            	260            	386            	330            
FBgn0040389	609            	642            	474            	507            	470            	483            
FBgn0044047	199            	46             	418            	255            	159            	152            
FBgn0040392	45             	49             	48             	87             	119            	89             
FBgn0023526	877            	904            	875            	614            	524            	582            
FBgn0023529	10280          	8889           	8412           	8289           	7390           	7857           
FBgn0023528	3423           	3477           	3293           	3025           	2907           	3238           
FBgn0027296	236            	247            	255            	286            	302            	353            
FBgn0023524	1              	4              	1              	5              	3              	3              
FBgn0023525	37             	44             	35             	39             	92             	64             
FBgn0000377	1457           	1719           	1602           	1649           	1740           	1660           
FBgn0001330	1080           	1166           	1006           	1105           	1040           	991            
FBgn0004397	2861           	2891           	2739           	3134           	3280           	3049           
FBgn0023550	2              	0              	3              	8              	1              	0              
FBgn0029603	0              	1              	0              	1              	1              	0              
FBgn0023542	1484           	1556           	1443           	1435           	1501           	1431           
FBgn0023541	34             	32             	39             	59             	47             	48             
FBgn0005670	132            	20             	159            	167            	8              	49             
FBgn0004655	3324           	3546           	3330           	3499           	3129           	3239           
FBgn0013432	691            	610            	637            	661            	655            	727            
FBgn0004861	4376           	4434           	4558           	3992           	3708           	3458           
FBgn0004860	3546           	3702           	3708           	3665           	3308           	3164           
FBgn0040394	2047           	2238           	2162           	2033           	2082           	1970           
FBgn0040376	3              	1              	1              	0              	2              	0              
FBgn0040066	2319           	2474           	2105           	2267           	2020           	2054           
FBgn0001404	1458           	1315           	1420           	1355           	1233           	1262           
FBgn0040336	162            	188            	189            	195            	186            	169            
FBgn0040333	2              	4              	1              	2              	5              	7              
FBgn0040334	774            	740            	723            	634            	703            	704            
FBgn0029629	4545           	4897           	4797           	4781           	4216           	4111           
FBgn0011566	491            	532            	569            	542            	556            	562            
FBgn0011606	3570           	3901           	3694           	3980           	3530           	3352           
FBgn0040375	280            	312            	313            	305            	329            	281            
FBgn0040377	1              	8              	4              	27             	49             	36             
FBgn0040388	6871           	7124           	6668           	7084           	7020           	6760           
FBgn0003714	559            	603            	503            	542            	467            	479            
FBgn0001150	45             	50             	65             	135            	81             	127            
FBgn0052797	0              	0              	0              	0              	0              	0              
FBgn0040385	2              	0              	0              	0              	1              	1              
FBgn0003371	5746           	5808           	5489           	5630           	5526           	5492           
FBgn0003068	29             	23             	41             	55             	154            	140            
FBgn0024993	318            	360            	337            	403            	350            	304            
FBgn0024996	1045           	1096           	984            	982            	927            	910            
FBgn0024997	5              	1              	3              	4              	10             	11             
FBgn0024991	1486           	1646           	1457           	1706           	1388           	1388           
FBgn0000928	70             	64             	45             	47             	19             	19             
FBgn0000927	0              	1              	2              	3              	8              	3              
FBgn0000520	833            	916            	872            	715            	804            	679            
FBgn0024975	294            	257            	289            	261            	273            	240            
FBgn0040356	0              	0              	0              	0              	0              	0              
FBgn0003996	16             	5              	14             	17609          	10209          	12758          
FBgn0040384	763            	752            	777            	762            	849            	762            
FBgn0024980	7              	7              	17             	5              	3              	3              
FBgn0000376	1449           	1528           	1610           	1507           	1850           	1576           
FBgn0024973	1287           	1364           	1200           	1388           	1413           	1109           
FBgn0024998	695            	729            	695            	737            	736            	743            
