FBgn0000492 Dr
FBgn0085369 Drgx
FBgn0024244 drm
FBgn0000504 dsx
FBgn0020307 dve
FBgn0039411 dysf
FBgn0000581 E(Pc)
FBgn0002609 E(spl)m3-HLH
FBgn0002629 E(spl)m4-BFM
FBgn0002631 E(spl)m5-HLH
FBgn0002632 E(spl)m6-BFM
FBgn0002633 E(spl)m7-HLH
FBgn0008646 E5
FBgn0000542 ec
FBgn0000560 eg
FBgn0039797 eIF4H2
FBgn0026259 eIF5B
FBgn0000576 ems
FBgn0000577 en
FBgn0004875 enc
FBgn0031375 erm
FBgn0287768 esg
FBgn0263934 esn
FBgn0005660 Ets21C
FBgn0000606 eve
FBgn0041156 exex
FBgn0005558 ey
FBgn0000320 eya
FBgn0000625 eyg
FBgn0265187 Fatp2
FBgn0034999 Fatp3
FBgn0039937 fd102C
FBgn0004897 fd96Ca
FBgn0004898 fd96Cb
FBgn0026592 Fie
FBgn0085397 Fili
FBgn0000659 fkh
FBgn0001077 ftz
FBgn0011596 fzo
FBgn0038391 GATAe
FBgn0014179 gcm
FBgn0019809 gcm2
FBgn0004618 gl
FBgn0038934 Gld2
FBgn0004919 gol
FBgn0026430 Grip84
FBgn0001138 grn
FBgn0001148 gsb
FBgn0001147 gsb-n
FBgn0010323 Gsc
FBgn0001150 gt
FBgn0013972 Gycalpha99B
FBgn0001168 h
FBgn0016660 H15
FBgn0001170 H2.0
FBgn0045852 ham
FBgn0032209 Hand
FBgn0008636 hbn
FBgn0052529 Hers
FBgn0040318 HGTX
FBgn0004644 hh
FBgn0264005 Hmx
FBgn0001235 hth
FBgn0010389 htl
FBgn0033968 hui
FBgn0020416 Idgf1
FBgn0020415 Idgf2
FBgn0020414 Idgf3
FBgn0035445 Ids
FBgn0031829 IFT52
FBgn0031550 IFT57
FBgn0285926 Imp
FBgn0001269 inv
FBgn0053471 Ir48a
FBgn0035023 ITP
FBgn0086655 jing
FBgn0001316 klar
FBgn0013469 klu
FBgn0001319 kn
FBgn0001320 kni
FBgn0001323 knrl
FBgn0001325 Kr
FBgn0002561 l(1)sc
FBgn0002121 l(2)gl
FBgn0002522 lab
FBgn0011278 lbe
FBgn0008651 lbl
FBgn0040107 lectin-21Ca
FBgn0040106 lectin-21Cb
FBgn0026411 Lim1
FBgn0020556 lncRNA:bxd
FBgn0040569 lncRNA:CR14310
FBgn0051647 lncRNA:CR31647
FBgn0052111 lncRNA:CR32111
FBgn0052773 lncRNA:CR32773
FBgn0053987 lncRNA:CR33987
