WD_NOnub_Rep1	WD_NOnub_Rep2	WD_NOnub_Rep3	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0031081	11.9822127396962	15.5988339888994	42.8773708207949	22.6144757481177	44.5619400740382	25.5339806773302
FBgn0031085	0	2.92478137291864	0.997148158623138	2.94971422801535	2.0255427306381	1.02135922709321
FBgn0062565	63.9051346117129	63.3702630799039	35.897333710433	0	1.01277136531905	5.10679613546604
FBgn0031088	2.99555318492404	0	2.99144447586941	2.94971422801535	8.1021709225524	5.10679613546604
FBgn0041626	3.99407091323205	6.8244898701435	1.99429631724628	0	0	2.04271845418641
FBgn0053217	472.29888548969	458.215748423921	421.793671097587	437.540943822276	386.878661551877	425.906797697867
FBgn0052350	933.614075967992	916.431496847842	911.393416981548	779.707794272056	728.182611664397	819.130100128752
FBgn0024733	41899.8009152609	41807.7998716234	41157.29024717	41856.4448955378	39011.9529920898	40759.3826756086
FBgn0040372	3825.321417148	3814.88983741022	3947.709559989	3594.7184058747	3488.99735352413	3614.59030468286
FBgn0000316	1538.71581932265	1615.4542449754	1579.48268325905	1568.26473122816	1817.92460074769	1785.33592895893
FBgn0024989	4088.93009742131	5547.33533730236	4773.34823532896	6355.65092329706	6196.13521302195	6315.0641011173
FBgn0004034	7.98814182646411	7.79941699444972	2.99144447586941	15985.4846396912	5495.29742822116	7235.30876472828
FBgn0000022	308.541978047176	301.25248141062	285.184373366217	327.418279309703	313.959123248905	278.831068996446
FBgn0004170	632.061722018972	544.009335362868	572.363043049681	488.669323774542	678.556814763763	601.580584757899
FBgn0002561	7.98814182646411	8.77434411875593	7.9771852689851	9.83238076005115	9.11494228787145	7.14951458965245
FBgn0000137	41.9377445889366	25.3481052319616	35.897333710433	26.5474280521381	34.4342264208477	30.6407768127962
FBgn0029522	269.599786643164	302.227408534927	268.232854669624	297.92113702955	210.656443986362	206.314563872828
FBgn0052817	141.789517419738	134.539943154258	122.649223510646	126.83771180466	149.890162067219	109.285437298973
FBgn0029524	169.748013812362	155.988339888994	143.589334841732	153.385139856798	163.056189816367	153.203884063981
FBgn0023536	277.587928469628	318.801169648132	313.104521807665	278.256375509448	308.89526642231	279.852428223539
FBgn0023534	4.99258864154007	3.89970849722486	6.98003711036196	2.94971422801535	5.06385682659525	6.12815536255924
FBgn0023535	50.9244041437087	16.5737611132056	75.7832600553585	56.0445703322916	50.6385682659525	78.6446604861769
FBgn0023537	4374.50616771741	4421.29450872868	4154.11922882399	3780.55040223967	2788.15956872334	2625.91457285664
FBgn0029525	1907.16886106831	2115.59185974449	1862.67276030802	2004.82243697443	2050.86201477108	1981.43690056082
FBgn0029523	318.527155330256	314.901461150907	390.88207818027	301.85408933357	447.64494347102	379.945632478673
FBgn0010019	8.98665955477212	3.89970849722486	20.9401113310859	96.3573314485013	51.6513396312715	36.7689321753555
FBgn0011822	0	0	0	13.7653330640716	21.2681986717	17.3631068605845
FBgn0052816	12.9807304680042	25.3481052319616	30.9115929173173	51.128379952266	37.4725405168048	38.8116506295419
FBgn0040370	0	1.94985424861243	1.99429631724628	6.88266653203581	4.0510854612762	5.10679613546604
FBgn0040373	1533.72323068111	1562.80818026286	1642.30301725231	1530.90168433996	1606.25538539601	1642.34563716588
FBgn0000108	206.693169759759	246.656562449472	242.307002545422	244.826280925274	172.171132104238	257.382525227488
FBgn0025640	258.616091631775	307.102044156458	337.036077614621	367.731040425913	375.738176533367	348.283496438784
FBgn0025635	751.883849415934	785.791262190809	724.926711319021	706.948176647678	796.038293140773	756.827187276067
FBgn0001341	2415.41438477708	2585.50673366008	2096.00542942584	2039.23576963461	1682.21323779494	1788.40000664021
FBgn0003575	3099.39902866807	3154.86417425491	3272.64025660114	3022.47384563972	3284.41753772968	3263.2427305628
FBgn0025634	976.550338285237	1006.12479228401	944.299306216112	1042.23236056542	1117.08681594691	1041.78641163507
FBgn0025638	4043.99679964745	3873.38546486859	3492.01285149823	3380.37250530559	3069.71000828204	3058.97088514416
FBgn0040383	78.8829005363331	91.6431496847842	190.455298297019	266.457518597386	398.019146570387	422.842720016588
FBgn0040382	2523.25429943435	2789.26650264008	2647.42836114443	2314.54243091604	3042.36518141843	2679.02525266548
FBgn0027343	1279.10120996257	1304.45249232172	1324.21275465153	1664.62206267666	1070.49933314224	1209.28932487836
FBgn0025621	1581.65208163989	1597.90555673789	1745.00927759049	1743.28110875707	1820.96291484365	1719.96893842496
FBgn0026874	0.998517728308013	4.87463562153107	3.98859263449255	3.93295230402046	0	2.04271845418641
FBgn0015799	3699.50818338119	3920.18196683529	3358.39499824273	4119.76753846143	3467.72915485243	3449.13010989376
FBgn0025620	69.8962409815609	25.3481052319616	303.133040221434	139.619806792726	8.1021709225524	49.0252429004739
FBgn0015288	32324.015900787	33208.9426352426	34561.155177878	34135.0762846696	34863.641479743	39365.2273306264
FBgn0029532	4.99258864154007	4.87463562153107	4.98574079311569	2.94971422801535	3.03831409595715	5.10679613546604
FBgn0029531	0.998517728308013	3.89970849722486	1.99429631724628	3.93295230402046	5.06385682659525	2.04271845418641
FBgn0025639	7300.16311165989	6906.38374858522	7098.69774123812	6356.63416137307	6714.6741520653	6474.39614054384
FBgn0002579	23606.9561326581	23364.1285339984	22817.7413137733	23346.9881147415	24030.0261849251	21047.1495927097
FBgn0026879	1462.82847197124	1433.14287273014	1453.84201527253	1469.94092362765	1239.63215115052	1251.16505318918
FBgn0029529	247.632396620387	259.330615065453	216.381150421221	269.407232825402	261.295012252315	245.12621450237
FBgn0025633	3847.28880717078	4055.69683711385	3972.63826395458	4095.1865865613	4063.23871766003	3813.75535396604
