GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0038598	6.09290195140635	1.50076876972936	0.34940492084494	1.74525211693483e-05	0.00022897707774185
FBgn0039927	6.77258834889997	1.50097736803655	0.284074305644552	1.26566537839804e-07	2.52555585773115e-06
FBgn0033205	8.97742562879193	1.50376962504743	0.17866875135472	3.87823455043217e-17	2.55726314035449e-15
FBgn0033875	8.82315437215268	1.50432490644341	0.442980835024891	0.000683997978175347	0.00568427773470185
FBgn0034396	6.00118901903793	1.50470928950254	0.411110945631286	0.000252111769816337	0.00238589182287897
FBgn0035049	11.8654278028618	1.50710833839231	0.159991840285066	4.51485531669321e-21	4.12068881774017e-19
FBgn0050047	6.24149054046727	1.5114864426016	0.284710053601138	1.103116894188e-07	2.23088919487423e-06
FBgn0031957	10.1628422596163	1.51926439531112	0.364544591388264	3.07866607279519e-05	0.000381958381797379
FBgn0262524	7.73481861330781	1.53108514431185	0.201069124586344	2.64263098788659e-14	1.37995297755511e-12
FBgn0038221	6.90998018058955	1.54258304423173	0.441741129192785	0.000479324717280707	0.00418900269157227
FBgn0034490	4.69515241299561	1.54361525906598	0.529775133722835	0.00357152554348925	0.0220769918165272
FBgn0033917	6.94233897444059	1.55753490756641	0.229338833356086	1.11039957831365e-11	4.26914064980956e-10
FBgn0267910	8.86417976109205	1.56003024785418	0.320943472587425	1.16934011337477e-06	1.97639192109203e-05
FBgn0266691	4.99652146815781	1.56008502799626	0.41999468585282	0.000203577563739061	0.00199509814099457
FBgn0260658	5.44808512366938	1.56222835485649	0.395511049304562	7.818446107688e-05	0.000879554237366487
FBgn0029761	7.3498204457703	1.5622572095601	0.213033231376512	2.24391348019792e-13	1.06570660127409e-11
FBgn0003082	9.86525208383593	1.56370800306927	0.127904650880646	2.26967768273201e-34	4.58125710729908e-32
FBgn0029838	5.95924679962507	1.56765646470153	0.357057434867357	1.13096438011461e-05	0.000154968696262179
FBgn0033659	4.34615955432855	1.5760693714801	0.531826206563915	0.00304157586555498	0.0194660855395519
FBgn0052364	6.92968007818373	1.58588846052667	0.314519029680976	4.60052304350296e-07	8.32536032148398e-06
FBgn0040383	7.91518298717196	1.59083746026312	0.387441225639337	4.02552450519923e-05	0.000490730606348097
FBgn0000092	4.80101814049676	1.59454179316571	0.532456028096297	0.00274722118460398	0.0179768288987552
FBgn0031630	5.61636698731327	1.59491961910053	0.339833722068322	2.68917884467891e-06	4.21277927667908e-05
FBgn0037115	5.34066895531453	1.59999258648163	0.511843638887091	0.00177237612618774	0.0125187481968146
FBgn0266204	4.11838495537368	1.60594041722888	0.545744290982871	0.00325404578987666	0.0204762977281447
FBgn0264721	4.58925301683721	1.6083162594058	0.470516004437648	0.000630375290516285	0.00531439281064974
FBgn0264817	4.94175977326231	1.61021096819544	0.426644366709164	0.000160567526509212	0.00163147798474414
FBgn0052702	10.0863526802174	1.63034154540931	0.116969358337291	3.71217774342436e-44	1.11322907414235e-41
