GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0035434	7.22360869499508	-6.80910411735957	1.74079181504003	9.17253256148006e-05	0.00101129098492957
FBgn0263829	3.16132846516492	-6.59560171777278	1.74142331737527	0.000152184431271659	0.001555333778605
FBgn0053866	2.44466216761932	-5.87921887431682	1.84671287148728	0.00145449392284304	0.0107057280604212
FBgn0265533	6.3619850156784	-5.72914171456499	0.910850108843083	3.17702860397583e-10	1.01048764325243e-08
FBgn0035041	2.11141607852264	-5.54544791455596	2.14212003887585	0.00963204720006923	0.0487454037665992
FBgn0265416	6.07332785272001	-5.44724580612749	0.562992958255957	3.83164317925463e-22	3.75859129060342e-20
FBgn0029762	4.45356180711195	-5.42230553652641	1.56288848233585	0.000521597069230288	0.00451706504838375
FBgn0265577	5.62559644565216	-5.36253931350249	1.63783553995439	0.00105975739082036	0.00822722897488942
FBgn0012042	6.45962238740402	-5.3005877716131	1.3078290600632	5.05721797109671e-05	0.000598427957436652
FBgn0085273	2.83189272970425	-5.26952038458084	1.8156473248211	0.00370455003448447	0.0227651974016095
FBgn0041581	7.86843216117237	-5.21461743640673	1.73754469921509	0.00268969580846701	0.0176997161164074
FBgn0052581	8.15345444075925	-5.01317879469726	0.267537030888775	2.41387164515947e-78	1.8097140562567e-75
FBgn0032804	3.42300806504827	-4.95832283031844	1.47748724258218	0.000791026385198442	0.00643114867470398
FBgn0259188	2.49472301721198	-4.92267483232193	1.59879994760812	0.00207709853656027	0.0142212826090911
FBgn0035865	8.07717713240697	-4.90687819369569	0.286045566918727	5.84861024900499e-66	3.83668832334728e-63
FBgn0062565	4.81841003566344	-4.74942012838298	0.891561338788448	9.98032570755573e-08	2.04596677004892e-06
FBgn0283461	9.94398398537436	-4.72967635012593	1.6106600447098	0.00331956675524499	0.0207764893637754
FBgn0013772	4.09964014739882	-4.61459250269406	1.64978817786196	0.00515664743153965	0.0297549045857285
FBgn0000241	5.65548191304598	-4.25784340936326	1.2571080419518	0.000706576034603041	0.00584414661874982
FBgn0263970	2.7600454137257	-4.2549673330037	1.46914618942863	0.00377690176776402	0.0230877912626601
FBgn0033130	6.07223335616188	-4.17843565575676	0.426073223250628	1.05202628029806e-22	1.10420678380084e-20
FBgn0039593	5.39916294383216	-4.09688505935302	1.16029196565945	0.000414134584048987	0.00368057289938879
FBgn0000639	15.0826706461123	-4.04199009312198	1.24189323010543	0.00113512139973462	0.0086906008676821
FBgn0052073	8.2118156589325	-3.85699709597674	1.14849659022612	0.000784232031011539	0.00639572602758128
FBgn0268063	11.2006948941107	-3.77513159002199	0.138736865704727	4.84849942839061e-163	1.01779700000776e-159
FBgn0259210	4.24811189557688	-3.7237328071793	1.03334851258441	0.00031388890019905	0.00287736060828753
FBgn0034512	8.74590025824622	-3.6845403046846	1.36884034178777	0.00710837596967178	0.0385105001755732
FBgn0033439	6.0249761781686	-3.64293370506543	0.908566757211649	6.08374450693472e-05	0.000705579915412009
FBgn0264562	9.88217309037799	-3.61102314602445	1.17782897097289	0.00217066846620559	0.0147369574523246
FBgn0033518	7.26449660785601	-3.59678038570462	0.716430669294426	5.15595483703825e-07	9.20355475672678e-06
FBgn0025360	8.04674330600644	-3.57310721299298	0.361778333636729	5.26343377532154e-23	5.8771277559335e-21
FBgn0031702	6.42271740416464	-3.56728811000142	1.09452656281329	0.00111724306586887	0.00857833446917312
FBgn0264776	3.9183026917535	-3.363005412409	1.2762687917556	0.0084130068878574	0.0441293954497508
FBgn0028939	8.23688977708836	-3.34543243886497	1.2773143187381	0.00881583544561682	0.0457169015994042
FBgn0035625	10.1811500652529	-3.29893028724923	0.918609209625307	0.000329130187278012	0.00299095276681386
FBgn0033708	6.51917539757732	-3.18983125679392	0.35248208581887	1.43458070068198e-19	1.18561882160299e-17
FBgn0046876	5.18029417932819	-3.14241417272644	1.08322843826571	0.00372008428405067	0.0228339208452607
FBgn0266849	7.05317292854999	-3.09805869095164	0.262502346576962	3.81040012755734e-32	7.01648416470909e-30
FBgn0038194	6.79247660459678	-3.02287522011988	0.949400720542885	0.00145263825656605	0.0106995727304683
FBgn0050360	6.24314290615188	-2.98951976814454	0.909558935906389	0.00101340109922781	0.00792597461810364
FBgn0052719	2.57422689971957	-2.97738581609113	1.07366597526255	0.00555246260921477	0.0315320199594512
FBgn0034199	5.20559943813531	-2.96413991288272	1.00078794044416	0.0030584023516967	0.0195261502940441
FBgn0063667	4.73924533445601	-2.90562940388568	1.12305793218574	0.00967459290636221	0.0488899986255069
FBgn0050424	5.62851365159958	-2.89650534606168	0.427863959813756	1.29060759973589e-11	4.89033117936026e-10
FBgn0265422	8.12499348322393	-2.84286378969626	0.372633611294409	2.3637506428875e-14	1.24049633738736e-12
FBgn0035477	4.14441806062982	-2.82967434753304	0.663069743496637	1.97643420647847e-05	0.000256106832483927
FBgn0034756	6.77195872654933	-2.79913007673782	0.36488829171183	1.70398206986094e-14	9.03282616427295e-13
FBgn0034364	6.85661806142025	-2.78447805686728	1.01533912993091	0.00609898183457668	0.0340143003909229
