".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"NOnubAll"	"SUMOnubAll"	27618	27618	11.6089193461004	3.71278130342668e-31	4.64097662928335e-31	"****"	"4.64e-31"
"values"	"NOnubQ1"	"SUMOnubQ1"	6905	6905	20.7496425836275	1.23506116755112e-95	3.0876529188778e-95	"****"	"3.09e-95"
"values"	"NOnubQ2"	"SUMOnubQ2"	6904	6904	20.9113455346167	4.22158589126526e-97	2.11079294563263e-96	"****"	"2.11e-96"
"values"	"NOnubQ3"	"SUMOnubQ3"	6904	6904	-2.7566804364042	0.00583913865789522	0.00583913865789522	"**"	"0.00584"
"values"	"NOnubQ4"	"SUMOnubQ4"	6905	6905	-15.6859949713235	1.88584811856375e-55	3.14308019760626e-55	"****"	"3.14e-55"
