".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"PcG_PcG_Control"	"PcG_PcG_SUMO"	4670	4670	-0.285001019650975	0.77564336074026	0.77564336074026	"ns"	"0.776"
"values"	"Active_Active_Control"	"Active_Active_SUMO"	50999	50999	17.6598414540401	8.54794318067463e-70	5.98356022647224e-69	"****"	"5.98e-69"
"values"	"Het_Het_Control"	"Het_Het_SUMO"	455	455	-0.53666264639562	0.591500662501072	0.69008410625125	"ns"	"0.69"
"values"	"Null_Null_Control"	"Null_Null_SUMO"	61411	61411	-11.0235057983479	2.94366344120496e-28	1.03028220442174e-27	"****"	"1.03e-27"
"values"	"PcG_Active_Control"	"PcG_Active_SUMO"	28120	28120	9.04554790685017	1.48916457249989e-19	3.47471733583308e-19	"****"	"3.47e-19"
"values"	"Active_Het_Control"	"Active_Het_SUMO"	7592	7592	3.50420331775098	0.000457975555032208	0.000641165777045091	"***"	"0.000641"
"values"	"Het_Null_Control"	"Het_Null_SUMO"	7426	7426	-3.93494871785167	8.32144622919175e-05	0.000145625309010856	"***"	"0.000146"
