".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"Q1"	"Q2"	1127	1126	5.69112594587839	1.2620437228389e-08	3.7861311685167e-08	"****"	"3.79e-08"
"values"	"Q1"	"Q3"	1127	1126	6.68475681855985	2.31308423453713e-11	1.38785054072228e-10	"****"	"1.39e-10"
"values"	"Q1"	"Q4"	1127	1127	2.81363786393654	0.00489843766348189	0.00587812519617827	"**"	"0.00588"
"values"	"Q2"	"Q3"	1126	1126	0.993410433217249	0.320509979231415	0.320509979231415	"ns"	"0.321"
"values"	"Q2"	"Q4"	1126	1127	-2.87811257154314	0.00400062350768177	0.00587812519617827	"**"	"0.00588"
"values"	"Q3"	"Q4"	1126	1127	-3.87174344422459	0.000108059658091879	0.000216119316183758	"***"	"0.000216"
