".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"Q1"	"Q2"	5996	6281	2.64452841361197	0.00818048382659518	0.0163609676531904	"*"	"0.0164"
"values"	"Q1"	"Q3"	5996	6429	4.50014165060272	6.79081947924989e-06	2.03724584377497e-05	"****"	"2.04e-05"
"values"	"Q1"	"Q4"	5996	6345	4.78939918347679	1.67281415623298e-06	1.00368849373979e-05	"****"	"1e-05"
"values"	"Q2"	"Q3"	6281	6429	1.86261550123305	0.0625163818503944	0.0750196582204733	"ns"	"0.075"
"values"	"Q2"	"Q4"	6281	6345	2.16372051142685	0.0304858058358277	0.0457287087537415	"ns"	"0.0457"
"values"	"Q3"	"Q4"	6429	6345	0.308960509790503	0.757351566736985	0.757351566736985	"ns"	"0.757"
