".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"Q1"	"Q2"	5505	5760	4.11180650795115	3.92575251155215e-05	7.8515050231043e-05	"****"	"7.85e-05"
"values"	"Q1"	"Q3"	5505	5987	5.85149178136104	4.87183361540929e-09	1.46155008462279e-08	"****"	"1.46e-08"
"values"	"Q1"	"Q4"	5505	5937	6.0420889687191	1.52131532488382e-09	9.12789194930295e-09	"****"	"9.13e-09"
"values"	"Q2"	"Q3"	5760	5987	1.72101697869596	0.0852477429565316	0.102297291547838	"ns"	"0.102"
"values"	"Q2"	"Q4"	5760	5937	1.92220440582535	0.0545800426725071	0.0818700640087606	"ns"	"0.0819"
"values"	"Q3"	"Q4"	5987	5937	0.20672880870626	0.836221657275237	0.836221657275237	"ns"	"0.836"
